"Function Value","Number of Vehicles",Alpha,Seed,Time
584.041,7,0.1,11081,0.252376
584.041,7,0.1,30807,0.23827
584.041,7,0.1,29568,0.237983
584.041,7,0.1,30022,0.239816
584.041,7,0.1,30124,0.250341
584.041,7,0.1,3212,0.241149
584.041,7,0.1,26978,0.236763
584.041,7,0.1,28177,0.246768
584.041,7,0.1,14148,0.240904
584.041,7,0.1,16296,0.240956
584.041,7,0.1,26608,0.237415
584.041,7,0.1,3479,0.237806
584.041,7,0.1,6134,0.240638
584.041,7,0.1,11120,0.240725
584.041,7,0.1,13755,0.238002
584.041,7,0.1,14834,0.23777
584.041,7,0.1,5128,0.24453
584.041,7,0.1,1954,0.240647
584.041,7,0.1,5814,0.250483
584.041,7,0.1,1887,0.256534
584.041,7,0.1,29799,0.240374
584.041,7,0.1,8805,0.241984
584.041,7,0.1,24423,0.240616
584.041,7,0.1,768,0.240988
584.041,7,0.1,12229,0.238287
584.041,7,0.1,13401,0.245576
584.041,7,0.1,22274,0.237207
584.041,7,0.1,8888,0.238801
584.041,7,0.1,31284,0.247569
584.041,7,0.1,30371,0.240368

584.041,7,0.2,11141,0.241536
584.041,7,0.2,30817,0.234859
584.041,7,0.2,29698,0.231158
584.041,7,0.2,29952,0.232186
584.041,7,0.2,30004,0.246882
584.041,7,0.2,3182,0.22939
584.041,7,0.2,27058,0.228416
584.041,7,0.2,28707,0.235597
584.041,7,0.2,14518,0.23027
584.041,7,0.2,16286,0.231935
584.041,7,0.2,26818,0.233808
584.041,7,0.2,3519,0.231133
584.041,7,0.2,6214,0.229216
584.041,7,0.2,11380,0.233952
584.041,7,0.2,13705,0.231441
584.041,7,0.2,14864,0.229109
584.041,7,0.2,5228,0.233131
584.041,7,0.2,1974,0.238083
584.041,7,0.2,5784,0.229898
584.041,7,0.2,2087,0.23194
584.041,7,0.2,30089,0.247422
584.041,7,0.2,8835,0.233863
584.041,7,0.2,24243,0.234098
584.041,7,0.2,958,0.242113
584.041,7,0.2,12109,0.229425
584.041,7,0.2,13391,0.229889
584.041,7,0.2,22314,0.231595
584.041,7,0.2,9038,0.249957
584.041,7,0.2,31344,0.230001
584.041,7,0.2,30291,0.229727

584.041,7,0.3,11591,0.237077
584.041,7,0.3,30837,0.242868
584.041,7,0.3,29548,0.245504
584.041,7,0.3,29972,0.235532
584.041,7,0.3,30374,0.234678
584.041,7,0.3,3202,0.245203
584.041,7,0.3,26968,0.242509
584.041,7,0.3,28417,0.236084
584.041,7,0.3,14108,0.236508
584.041,7,0.3,16306,0.243409
584.041,7,0.3,26668,0.249657
584.041,7,0.3,3749,0.239617
584.041,7,0.3,6574,0.236381
584.041,7,0.3,11250,0.236584
584.041,7,0.3,14175,0.236222
584.041,7,0.3,15044,0.238402
584.041,7,0.3,5248,0.241141
584.041,7,0.3,1984,0.237676
584.041,7,0.3,5834,0.252829
584.041,7,0.3,2007,0.241645
584.041,7,0.3,29859,0.23973
584.041,7,0.3,8815,0.236579
584.041,7,0.3,24283,0.248158
584.041,7,0.3,848,0.235709
584.041,7,0.3,12209,0.241563
584.041,7,0.3,13531,0.244122
584.041,7,0.3,22464,0.237678
584.041,7,0.3,9118,0.245876
584.041,7,0.3,31104,0.239174
584.041,7,0.3,30281,0.236301

