"Function Value", "Number of Vehicles",Alpha,Seed,Time
2283.74,10,0,26230,12.9712
2782.15,14,0.8,31144,15.8708
2283.74,10,0,9661,14.0989
2248.9,11,0.1,1714,12.0248
2222.15,11,0.1,23264,14.5936
2283.74,10,0,13512,11.7726
2283.74,10,0,5846,13.1685
2283.74,10,0,29821,12.5965
2186.44,11,0.2,6759,13.0719
2283.74,10,0,19229,15.3977
2283.74,10,0,23746,14.8663
2283.74,10,0,10723,13.397
2222.15,11,0.5,3622,13.1758
2283.74,10,0,23593,14.8142
2283.74,10,0,16153,13.985
2283.74,10,0,16892,15.3008
2283.74,10,0,16446,14.8137
2283.74,10,0,12787,15.0657
2183.19,11,0.1,17417,11.3529
2283.74,10,0,28928,13.2293
2283.74,10,0,23519,14.747
2740.89,12,0.3,3276,15.3863
2550.69,11,0.9,7173,13.1194
2283.74,10,0.1,21842,12.3383
2283.74,10,0,24780,15.4716
2214.28,12,0.1,21289,14.427
2283.74,10,0,30656,13.5144
2283.74,10,0,12783,13.3407
2283.74,10,0,19276,13.5041
2283.74,10,0,22214,14.0648

