"Function Value", "Number of Vehicles",Alpha,Seed,Time
1512.61,14,0.5,12289,3.87848
1036.64,15,0.2,31460,4.06459
994.153,13,0.2,26457,4.0879
1121.34,14,6.94773e-310,32205,4.2375
1121.34,14,6.92855e-310,29566,4.11637
1114.46,13,0.1,3016,3.91872
1121.34,14,6.93181e-310,23271,4.11079
1080.22,14,0.6,1571,4.37199
1121.34,14,6.95062e-310,26548,3.69545
1089.02,14,0.4,22666,4.33366
1121.34,14,0,29504,4.21107
1121.34,14,6.94647e-310,13726,3.90708
1286.98,14,0.8,25582,3.90922
1121.34,14,6.94173e-310,27720,3.81273
1036.64,15,0.1,5571,4.41657
1121.34,14,6.91299e-310,21019,4.30293
1121.34,14,0,15564,3.95891
1121.34,14,0,26388,4.05752
1121.34,14,6.93124e-310,5250,4.03413
1120.6,14,0.1,13536,4.19685
1114.46,13,0.1,9040,3.83969
1070.2,14,0.1,25447,3.95381
1063.9,14,0.6,4990,3.63793
1121.34,14,6.93053e-310,11132,4.42082
1121.34,14,6.94013e-310,21525,4.32147
1121.34,14,0,13398,4.33519
1121.34,14,6.91019e-310,31918,4.50347
1121.34,14,6.9161e-310,7097,3.82069
1121.34,14,0,5026,4.14371
1121.34,14,6.92772e-310,7897,4.15686

