"Function Value","Number of Vehicles",Alpha,Seed,Time
240.392,2,0.1,404,0.136637
240.392,2,0.1,23860,0.136004
240.392,2,0.1,14435,0.141169
240.392,2,0.1,30274,0.139233
240.392,2,0.1,15595,0.134406
240.392,2,0.1,26080,0.135759
240.392,2,0.1,7211,0.135555
240.392,2,0.1,24147,0.140174
240.392,2,0.1,31238,0.136684
240.392,2,0.1,29156,0.134989
240.392,2,0.1,12220,0.144318
240.392,2,0.1,22973,0.134389
240.392,2,0.1,16651,0.135771
240.392,2,0.1,31366,0.134187
240.392,2,0.1,849,0.135212
240.392,2,0.1,32526,0.139178
240.392,2,0.1,28629,0.134448
240.392,2,0.1,29931,0.140952
240.392,2,0.1,6576,0.134662
240.392,2,0.1,25666,0.134934
240.392,2,0.1,28537,0.139844
240.392,2,0.1,31408,0.140831
240.392,2,0.1,3268,0.135826
240.392,2,0.1,29462,0.134781
240.392,2,0.1,15752,0.142073
240.392,2,0.1,19469,0.140627
240.392,2,0.1,17110,0.138261
240.392,2,0.1,14988,0.135034
240.392,2,0.1,23894,0.142003
240.392,2,0.1,11941,0.136443

240.392,2,0.2,414,0.156324
240.392,2,0.2,23860,0.150976
240.392,2,0.2,14445,0.148918
240.392,2,0.2,30294,0.143761
240.392,2,0.2,15615,0.142537
240.392,2,0.2,26080,0.149337
240.392,2,0.2,7231,0.150035
240.392,2,0.2,24147,0.144637
240.392,2,0.2,31258,0.141876
240.392,2,0.2,29236,0.154914
240.392,2,0.2,12250,0.14789
240.392,2,0.2,22973,0.149084
240.392,2,0.2,16651,0.143691
240.392,2,0.2,31366,0.143246
240.392,2,0.2,849,0.143957
240.392,2,0.2,32526,0.148404
240.392,2,0.2,28709,0.142819
240.392,2,0.2,29961,0.148149
240.392,2,0.2,6596,0.145489
240.392,2,0.2,25676,0.141789
240.392,2,0.2,28567,0.145157
240.392,2,0.2,31408,0.160336
240.392,2,0.2,3268,0.143969
240.392,2,0.2,29462,0.148079
240.392,2,0.2,15772,0.142106
240.392,2,0.2,19469,0.14973
240.392,2,0.2,17120,0.142008
240.392,2,0.2,14998,0.145922
240.392,2,0.2,23914,0.141148
240.392,2,0.2,11971,0.141725

240.392,2,0.3,494,0.149848
240.392,2,0.3,23860,0.156211
240.392,2,0.3,14445,0.150113
240.392,2,0.3,30294,0.150898
240.392,2,0.3,15615,0.150843
240.392,2,0.3,26090,0.149911
240.392,2,0.3,7301,0.155932
240.392,2,0.3,24147,0.149803
240.392,2,0.3,31258,0.151883
240.392,2,0.3,29236,0.151162
240.392,2,0.3,12250,0.148474
240.392,2,0.3,22973,0.153075
240.392,2,0.3,16721,0.148414
240.392,2,0.3,31366,0.152508
240.392,2,0.3,899,0.149403
240.392,2,0.3,32526,0.154553
240.392,2,0.3,28709,0.153908
240.392,2,0.3,29961,0.15551
240.392,2,0.3,6596,0.148751
240.392,2,0.3,25676,0.155736
240.392,2,0.3,28577,0.151885
240.392,2,0.3,31408,0.150623
240.392,2,0.3,3268,0.156111
240.392,2,0.3,29462,0.14812
240.392,2,0.3,15772,0.160763
240.392,2,0.3,19469,0.154892
240.392,2,0.3,17120,0.156363
240.392,2,0.3,14998,0.148367
240.392,2,0.3,23914,0.149517
240.392,2,0.3,11991,0.149861

