"Function Value", "Number of Vehicles",Alpha,Seed,Time
1413.18,7,0,26297,10.6729
1413.18,7,0,2386,10.602
1413.18,7,0,28560,9.07699
1413.18,7,0,26706,11.0664
1413.18,7,0,23560,8.49206
1413.18,7,0,14147,10.7393
1413.18,7,0,4053,8.8638
1413.18,7,0,30349,10.4234
1413.18,7,0,24204,7.99701
1413.18,7,0,25676,10.5694
1413.18,7,0,4877,9.79316
1413.18,7,0,4991,12.575
1413.18,7,0,27839,9.50548
1413.18,7,0,4551,13.4133
1413.18,7,0,107,10.9222
1413.18,7,0,31809,10.0864
1413.18,7,0,22341,12.5009
1413.18,7,0,11236,11.5131
1413.18,7,0,9379,11.3089
1413.18,7,0,26977,11.7029
1413.18,7,0,27775,10.6333
1413.18,7,0,26877,9.62745
1413.18,7,0,20848,10.1172
1413.18,7,0,831,9.42944
1413.18,7,0,32646,10.8258
1413.18,7,0,22161,10.2345
1413.18,7,0,24252,9.60938
1413.18,7,0,15459,10.5008
2005.48,10,0.2,32666,11.7166
1413.18,7,0,5099,10.4434

