"Function Value","Number of Vehicles",Alpha,Seed,Time
1335.34,6,0.1,9795,0.909466
1335.34,6,0.1,5133,0.914119
1335.34,6,0.1,8081,0.852744
1335.34,6,0.1,10429,0.865187
1335.34,6,0.1,26881,0.865573
1335.34,6,0.1,12948,0.860249
1335.34,6,0.1,19723,0.840964
1335.34,6,0.1,11657,0.870137
1335.34,6,0.1,32797,0.855751
1335.34,6,0.1,20707,0.847611
1335.34,6,0.1,16582,0.851924
1335.34,6,0.1,27471,0.855829
1335.34,6,0.1,19283,0.851564
1335.34,6,0.1,11135,0.865158
1335.34,6,0.1,9207,0.849972
1335.34,6,0.1,13059,0.852567
1335.34,6,0.1,19557,0.840165
1335.34,6,0.1,11880,0.832343
1335.34,6,0.1,25575,0.843243
1335.34,6,0.1,807,0.846626
1335.34,6,0.1,3219,0.8539
1335.34,6,0.1,11585,0.86433
1335.34,6,0.1,25196,0.853184
1335.34,6,0.1,30216,0.861759
1335.34,6,0.1,25900,0.875481
1335.34,6,0.1,8793,0.859768
1335.34,6,0.1,9230,0.859681
1335.34,6,0.1,15396,0.851939
1335.34,6,0.1,29461,0.838635
1335.34,6,0.1,1830,0.860224

1335.34,6,0.2,9135,0.891273
1335.34,6,0.2,6003,0.874592
1335.34,6,0.2,9711,0.904349
1335.34,6,0.2,10349,0.864846
1335.34,6,0.2,27071,0.877333
1335.34,6,0.2,12938,0.898378
1335.34,6,0.2,20623,0.868153
1335.34,6,0.2,12047,0.888584
1335.34,6,0.2,32567,0.897887
1335.34,6,0.2,21657,0.907071
1335.34,6,0.2,17442,0.880511
1335.34,6,0.2,27071,0.871969
1335.34,6,0.2,19643,0.873229
1335.34,6,0.2,10925,0.856027
1335.34,6,0.2,8877,0.87945
1335.34,6,0.2,12719,0.862
1335.34,6,0.2,19987,0.875442
1335.34,6,0.2,11590,0.910118
1335.34,6,0.2,25775,0.896774
1335.34,6,0.2,1077,0.887636
1335.34,6,0.2,3329,0.919104
1335.34,6,0.2,11665,0.925431
1335.34,6,0.2,25526,0.874564
1335.34,6,0.2,30306,0.876889
1335.34,6,0.2,26140,0.885549
1335.34,6,0.2,9273,0.910133
1335.34,6,0.2,9290,0.909798
1335.34,6,0.2,15156,0.905951
1335.34,6,0.2,30621,0.883523
1335.34,6,0.2,1290,0.924483

1317,7,0.3,8265,0.907573
1339.36,7,0.3,5353,0.91063
1339.36,7,0.3,9311,0.956904
1317,7,0.3,12619,0.922502
1317,7,0.3,31681,0.920156
1339.36,7,0.3,15838,0.90446
1339.36,7,0.3,23413,0.939115
1317,7,0.3,11417,0.921316
1317,7,0.3,32887,0.913672
1317,7,0.3,24747,0.905666
1317,7,0.3,16902,0.908783
1317,7,0.3,31681,0.912584
1339.36,7,0.3,23413,0.902496
1339.36,7,0.3,11805,0.907972
1317,7,0.3,9387,0.923488
1317,7,0.3,12619,0.913002
1339.36,7,0.3,19917,0.899988
1317,7,0.3,12140,0.940275
1317,7,0.3,25375,0.905505
1317,7,0.3,1887,0.910929
1317,7,0.3,3419,0.940222
1339.36,7,0.3,11805,0.905864
1339.36,7,0.3,26376,0.938243
1317,7,0.3,31646,0.924327
1317,7,0.3,29890,0.914598
1317,7,0.3,11803,0.929626
1317,7,0.3,9780,0.907366
1317,7,0.3,15926,0.903136
1317,7,0.3,31681,0.924738
1339.36,7,0.3,1340,0.919924

