"Function Value", "Number of Vehicles",Alpha,Seed,Time
240.392,2,0,13560,0.504238
240.392,2,0.6,15078,0.394238
240.392,2,6.94288e-310,28482,0.44599
240.392,2,0,6199,0.460512
240.392,2,6.94453e-310,21760,0.392678
240.392,2,0.1,28015,0.396753
240.392,2,0,28616,0.422517
240.392,2,6.94111e-310,29795,0.552288
240.392,2,6.91825e-310,25840,0.422485
240.392,2,0.4,16980,0.406341
240.392,2,0,22658,0.401792
240.392,2,1,1108,0.405118
240.392,2,6.91452e-310,4825,0.398036
240.392,2,0.2,16211,0.394988
240.392,2,6.91266e-310,23861,0.446223
648.1,5,0.9,11898,0.527098
240.392,2,0.9,24243,0.394175
240.392,2,6.92358e-310,6507,0.41905
240.392,2,6.939e-310,15807,0.407703
240.392,2,0,19847,0.469752
240.392,2,0,14426,0.465891
240.392,2,6.94375e-310,13064,0.454273
240.392,2,6.89954e-310,21331,0.420747
240.392,2,0,29559,0.458573
240.392,2,6.93743e-310,6372,0.49344
240.392,2,6.92913e-310,13121,0.440224
240.392,2,6.90054e-310,10632,0.416996
240.392,2,0,30762,0.420993
240.392,2,0,20549,0.42404
240.392,2,0,10094,0.471712

