"Function Value", "Number of Vehicles",Alpha,Seed,Time
679.395,5,6.94235e-310,16087,0.683735
679.395,5,6.94962e-310,7472,0.576258
659.045,4,0.1,28842,0.641731
659.045,4,0.1,6693,0.56034
994.459,6,0.9,11143,0.565097
661.031,4,0.4,10031,0.595276
679.395,5,0,1171,0.580603
659.045,4,0.1,10324,0.546373
679.395,5,6.91698e-310,32540,0.64715
659.045,4,0.1,12025,0.592338
661.031,4,0.8,22699,0.582524
679.395,5,6.9223e-310,11301,0.597253
659.045,4,0.2,17238,0.652457
659.045,4,0.2,28456,0.54127
659.045,4,0.2,17699,0.55063
679.395,5,6.92959e-310,7034,0.720957
741.654,5,0.1,17653,0.587088
659.045,4,0.1,9413,0.552522
679.395,5,0,30297,0.597815
662.02,5,0.1,25102,0.576734
662.02,5,0.5,26415,0.577014
679.395,5,6.90681e-310,12274,0.613334
679.395,5,0.2,30373,0.578925
679.395,5,6.93147e-310,18376,0.613142
653.302,4,0.3,2183,0.618208
679.395,5,6.94607e-310,17032,0.546459
679.395,5,0,51,0.693564
679.395,5,6.91764e-310,4183,0.630777
675.74,5,0.1,28317,0.616221
679.395,5,0,18632,0.567333

