"Function Value", "Number of Vehicles",Alpha,Seed,Time
2910.34,24,0,27847,24.2665
3717.6,30,0.3,31521,28.3593
2910.34,24,0,15291,27.5042
2910.34,24,0,20150,29.964
3522.8,28,0.2,29242,28.5211
2910.34,24,0,30094,27.7933
2910.34,24,0,7484,26.2426
2910.34,24,0,12963,26.3074
2910.34,24,0,27409,28.0306
2910.34,24,0,28151,28.1935
2910.34,24,0,15861,24.5691
2910.34,24,0,4530,23.504
2910.34,24,0,19199,23.5907
2910.34,24,0,26028,26.4156
2910.34,24,0,6930,26.2002
2910.34,24,0,5247,23.4306
2910.34,24,0,25279,25.8656
2910.34,24,0,14006,28.345
2910.34,24,0,4092,27.5561
2910.34,24,0,7540,24.1927
2910.34,24,0,28247,24.3689
2676,24,0.1,20247,24.014
2910.34,24,0,15974,23.3789
2910.34,24,0,19196,25.2727
2910.34,24,0,17966,24.5307
2910.34,24,0,7145,26.7324
2910.34,24,0,23170,25.9363
2910.34,24,0,10828,25.8287
2910.34,24,0,16814,25.6591
2910.34,24,0,29681,26.0313

