"Function Value", "Number of Vehicles",Alpha,Seed,Time
1929.22,15,6.90508e-310,24824,3.98315
1812.3,15,0.1,28962,4.08718
1812.3,15,0.1,15386,4.11843
1850.17,14,0.3,4281,3.72441
2062.23,15,0.5,5365,4.34918
1929.22,15,6.90569e-310,16482,4.03465
1602.07,13,0.3,25348,3.84727
1522.93,13,0.3,31899,3.7333
1574,12,0.6,20348,3.39729
1742.5,14,0.1,10651,3.84355
1793.31,15,0.1,22617,4.06126
1678.61,14,0.1,14789,3.81914
1768.92,15,0.4,1665,3.93587
1848.49,15,0.5,31003,3.9402
1716.36,14,0.3,7101,3.81737
1646.4,13,0.1,6600,4.02862
1804.34,14,0.7,10549,4.34053
1653.62,14,0.2,31430,3.98828
1630.94,14,0.2,30926,3.74327
1812.3,15,0.1,30874,4.00434
1776.62,14,0.7,23098,3.93727
1782.14,14,0.1,24118,4.02246
1606.59,13,0.1,5906,4.04997
1742.5,14,0.1,22331,4.08067
2352.46,17,1,10887,3.9154
1682.02,14,0.1,4803,4.01952
1709.85,14,0.3,8135,4.04081
1606.59,13,0.1,3459,3.92828
2425.6,17,0.5,30702,4.26568
1600.6,13,0.1,27605,3.89982

