"Function Value","Number of Vehicles",Alpha,Seed,Time
1359.3,7,0.1,31777,2.9921
1403.4,8,0.1,12191,2.99549
1359.3,7,0.1,14715,2.98563
1359.3,7,0.1,27801,2.98949
1367.71,7,0.1,33319,2.97592
1359.3,7,0.1,16050,3.14473
1359.3,7,0.1,7798,3.00506
1397.27,8,0.1,7744,3.01332
1359.3,7,0.1,2796,2.9963
1400.27,7,0.1,15634,3.01671
1359.3,7,0.1,10058,2.97068
1359.3,7,0.1,16096,2.94564
1403.39,7,0.1,17473,2.97338
1411.54,7,0.1,17311,3.02785
1359.3,7,0.1,8796,3.01507
1359.3,7,0.1,16096,3.00211
1359.3,7,0.1,4539,3.1511
1386.95,7,0.1,5329,3.002
1359.3,7,0.1,27801,2.98664
1403.4,8,0.1,20660,2.94329
1359.3,7,0.1,23479,3.03153
1359.3,7,0.1,17728,3.00618
1403.4,8,0.1,12343,2.96761
1359.3,7,0.1,1680,3.03181
1403.4,8,0.1,32154,3.0272
1359.3,7,0.1,4460,3.15143
1359.3,7,0.1,25435,3.01276
1359.3,7,0.1,4342,3.02404
1351.98,7,0.1,6281,2.95206
1359.3,7,0.1,19954,2.9686

1398.73,8,0.2,29997,3.45532
1359.3,7,0.2,16541,3.30219
1401.29,7,0.2,13645,3.29704
1365.34,8,0.2,27551,3.2858
1400.27,7,0.2,37079,3.26831
1402.74,8,0.2,14630,3.23514
1363.42,8,0.2,9878,3.29012
1403.4,8,0.2,5034,3.30356
1413.18,7,0.2,3726,3.29239
1363.42,8,0.2,15684,3.30183
1363.42,8,0.2,9878,3.45904
1358.36,8,0.2,14096,3.35209
1365.34,8,0.2,17113,3.26493
1358.36,8,0.2,20791,3.30046
1413.18,7,0.2,4546,3.26516
1358.36,8,0.2,14096,3.34887
1358.36,8,0.2,1409,3.32143
1398.73,8,0.2,7749,3.28318
1412.86,8,0.2,30231,3.2995
1358.36,8,0.2,24660,3.30777
1363.42,8,0.2,21469,3.26457
1363.42,8,0.2,21938,3.38397
1367.71,7,0.2,9153,3.2241
1363.42,8,0.2,3570,3.25706
1358.36,8,0.2,28404,3.26812
1359.3,7,0.2,6350,3.28544
1403.39,7,0.2,24645,3.28443
1359.3,7,0.2,5552,3.29502
1358.36,8,0.2,6271,3.30916
1358.36,8,0.2,18394,3.28632

1394.26,8,0.3,33307,3.50173
1403.4,8,0.3,13351,3.54232
1407.81,8,0.3,12535,3.48865
1318.65,8,0.3,31311,3.55091
1402.75,8,0.3,34179,3.50795
1359.3,7,0.3,11890,3.58569
1359.3,7,0.3,6748,3.55983
1376.48,8,0.3,8184,3.65644
1407.81,8,0.3,2596,3.47397
1359.3,7,0.3,14284,3.49381
1362.41,7,0.3,10758,3.49239
1368.9,8,0.3,15136,3.49393
1452.17,8,0.3,14843,3.54959
1407.81,8,0.3,19491,3.52923
1407.81,8,0.3,8886,3.48451
1368.9,8,0.3,15136,3.51728
1368.9,8,0.3,2769,3.49493
1382.05,8,0.3,7179,3.54225
1318.65,8,0.3,31311,3.66224
1336.36,8,0.3,22350,3.6067
1373.95,8,0.3,24779,3.49346
1382.05,8,0.3,17978,3.71214
1359.3,7,0.3,10173,3.58253
1338.5,8,0.3,3380,3.6498
1378.62,8,0.3,30754,3.78876
1338.5,8,0.3,3380,3.70725
1375.88,8,0.3,24565,3.63605
1359.3,7,0.3,4062,3.70154
1373.95,8,0.3,7881,3.49747
1375.09,8,0.3,21874,3.61803

