"Function Value","Number of Vehicles",Alpha,Seed,Time
2140.8,11,0.1,7707,4.2757
2140.8,11,0.1,28685,4.2492
2140.8,11,0.1,6617,4.20722
2140.8,11,0.1,8228,4.19956
2140.8,11,0.1,8228,4.20956
2140.8,11,0.1,30998,4.22551
2140.8,11,0.1,6617,4.22262
2140.8,11,0.1,24426,4.23662
2140.8,11,0.1,26158,4.21715
2140.8,11,0.1,23391,4.21051
2140.8,11,0.1,6983,4.37596
2140.8,11,0.1,13934,4.26412
2140.8,11,0.1,12559,4.21638
2140.8,11,0.1,22418,4.23638
2140.8,11,0.1,11971,4.21717
2140.8,11,0.1,8916,4.26911
2140.8,11,0.1,19936,4.22202
2140.8,11,0.1,7355,4.21247
2140.8,11,0.1,30354,4.15888
2140.8,11,0.1,28329,4.23142
2140.8,11,0.1,1607,4.24914
2140.8,11,0.1,8205,4.18033
2140.8,11,0.1,21952,4.17001
2140.8,11,0.1,23315,4.1543
2140.8,11,0.1,27050,4.1986
2140.8,11,0.1,30497,4.19271
2140.8,11,0.1,13602,4.19926
2140.8,11,0.1,12981,4.19887
2140.8,11,0.1,7355,4.23011
2140.8,11,0.1,17877,4.24193

2140.8,11,0.2,7217,4.49449
2140.8,11,0.2,28875,4.47471
2140.8,11,0.2,7217,4.49352
2140.8,11,0.2,8118,4.49004
2140.8,11,0.2,13088,4.48167
2140.8,11,0.2,33768,4.49946
2140.8,11,0.2,7217,4.53317
2140.8,11,0.2,25146,4.49367
2140.8,11,0.2,28108,4.61962
2140.8,11,0.2,24971,4.48438
2140.8,11,0.2,5573,4.47723
2140.8,11,0.2,12834,4.47432
2140.8,11,0.2,14409,4.46213
2140.8,11,0.2,22798,4.52055
2140.8,11,0.2,14391,4.7174
2140.8,11,0.2,11306,4.53932
2140.8,11,0.2,18726,4.53754
2140.8,11,0.2,5055,4.52122
2140.8,11,0.2,30064,4.49944
2140.8,11,0.2,29079,4.50877
2140.8,11,0.2,787,4.39867
2140.8,11,0.2,12645,4.41919
2140.8,11,0.2,23812,4.38381
2140.8,11,0.2,26705,4.42618
2140.8,11,0.2,28240,4.4834
2140.8,11,0.2,30077,4.41082
2140.8,11,0.2,11592,4.47607
2140.8,11,0.2,14391,4.45086
2140.8,11,0.2,5605,4.40877
2140.8,11,0.2,21407,4.44243

2087.24,11,0.3,8847,4.60259
2087.24,11,0.3,29475,4.54559
2087.24,11,0.3,5807,4.5404
2170.42,10,0.3,8858,4.58045
2170.42,10,0.3,8858,4.51102
2170.42,10,0.3,29688,4.58944
2087.24,11,0.3,5807,4.59246
2087.24,11,0.3,24326,4.62187
2087.24,11,0.3,28858,4.56099
2170.42,10,0.3,24311,4.56376
2087.24,11,0.3,9553,4.60057
2170.42,10,0.3,12704,4.52431
2163.57,10,0.3,17079,4.45159
2170.42,10,0.3,22358,4.60873
2170.42,10,0.3,13031,4.54428
2170.42,10,0.3,9226,4.56887
2087.24,11,0.3,23186,4.58736
2163.57,10,0.3,3735,4.53733
2087.24,11,0.3,34704,4.55581
2087.24,11,0.3,32599,4.54923
2163.57,10,0.3,5227,4.50513
2087.24,11,0.3,8865,4.52492
2087.24,11,0.3,21072,4.50698
2163.57,10,0.3,23065,4.5779
2170.42,10,0.3,25910,4.52467
2087.24,11,0.3,30657,4.56466
2170.42,10,0.3,12562,4.5559
2170.42,10,0.3,13031,4.5405
2087.24,11,0.3,8865,4.5256
2087.24,11,0.3,19787,4.53568

