"Function Value", "Number of Vehicles",Alpha,Seed,Time
2647.95,23,0,11989,25.1488
2647.95,23,0,6449,24.7319
2647.95,23,0,15523,28.3958
2647.95,23,0,32744,26.1911
3557.51,27,0.5,3977,27.3336
2647.95,23,0,3351,27.3288
2647.95,23,0,19645,23.7016
2647.95,23,0,19019,24.6569
2647.95,23,0,28542,25.1609
2647.95,23,0,29381,27.6306
2647.95,23,0,6676,25.8124
2647.95,23,0,9547,25.7492
2647.95,23,0,9260,25.6592
2647.95,23,0,6267,25.209
2647.95,23,0,11447,23.6537
2647.95,23,0,22100,22.3275
2647.95,23,0,31290,24.7083
2647.95,23,0,14052,25.7411
2647.95,23,0,5189,25.2931
2647.95,23,0,20750,24.9238
2647.95,23,0,25200,28.6294
2647.95,23,0,19611,27.0132
2647.95,23,0,31675,21.754
2647.95,23,0,7587,25.5042
2647.95,23,0,1998,23.8089
2647.95,23,0,14882,26.6656
2647.95,23,0,20291,25.5431
2647.95,23,0,12051,26.856
2647.95,23,0,7421,23.9364
2647.95,23,0,22136,22.9575

