"Function Value", "Number of Vehicles",Alpha,Seed,Time
506.516,8,0.9,20467,0.797006
492.975,6,0.6,20537,0.789721
469.487,6,0.2,24443,0.697238
535.663,7,0.7,28270,0.739256
529.822,9,0.6,28621,0.801844
458.194,7,0.4,30603,0.718501
442.02,6,0.8,5516,0.724903
492.975,6,0.6,13426,0.814479
529.822,9,0,21953,0.666512
442.02,6,0.8,15197,0.714251
437.3,6,0.4,27218,0.651308
489.255,8,0.3,22603,0.753097
529.822,9,6.9148e-310,26917,0.805529
529.822,9,6.93128e-310,5758,0.835878
489.255,8,0.1,17501,0.699904
481.273,7,0.1,9451,0.741464
489.255,8,0.1,9240,0.770934
471.903,7,0.3,20626,0.813804
471.903,7,0.3,26618,0.723956
494.377,6,0.9,404,0.6827
489.255,8,0.6,11170,0.98916
529.822,9,6.93202e-310,4643,0.80942
469.487,6,0.2,3303,0.704158
488.711,7,0.4,4708,0.735379
529.822,9,0.6,31288,0.806695
529.822,9,6.91749e-310,22541,0.813047
481.273,7,0.1,3755,0.74584
487.312,7,0.4,27684,0.7
529.822,9,0,13748,0.72149
481.273,7,0.1,7447,0.722851

