"Function Value","Number of Vehicles",Alpha,Seed,Time
1004.75,15,0.1,6068,1.40982
1004.75,15,0.1,27099,1.39239
994.211,13,0.1,9047,1.41195
1004.75,15,0.1,22558,1.4041
994.211,13,0.1,15817,1.3948
1004.75,15,0.1,14508,1.38803
994.211,13,0.1,13763,1.40671
994.211,13,0.1,30751,1.38156
1004.75,15,0.1,16916,1.39795
994.211,13,0.1,10435,1.38941
994.211,13,0.1,25777,1.37498
1004.75,15,0.1,29196,1.40631
994.211,13,0.1,27457,1.40214
1004.75,15,0.1,20104,1.39873
994.211,13,0.1,4246,1.45195
994.211,13,0.1,19691,1.39285
994.211,13,0.1,12225,1.41124
1004.75,15,0.1,13531,1.4204
994.211,13,0.1,33498,1.4033
1004.75,15,0.1,16345,1.39854
1004.75,15,0.1,11461,1.40881
994.211,13,0.1,10134,1.40861
994.211,13,0.1,23472,1.40967
994.211,13,0.1,21427,1.39812
1004.75,15,0.1,25949,1.41142
1004.75,15,0.1,18890,1.424
1004.75,15,0.1,32204,1.38939
994.211,13,0.1,19691,1.41572
1004.75,15,0.1,25089,1.40911
994.211,13,0.1,24629,1.38779

994.153,13,0.2,5078,1.43289
994.153,13,0.2,29629,1.42353
994.153,13,0.2,5937,1.43709
994.153,13,0.2,23968,1.43124
994.153,13,0.2,17457,1.45415
994.153,13,0.2,15748,1.45629
994.153,13,0.2,10933,1.41094
994.211,13,0.2,30861,1.41131
994.211,13,0.2,18746,1.42967
994.153,13,0.2,12495,1.43271
994.153,13,0.2,26457,1.43267
994.211,13,0.2,29836,1.41903
994.153,13,0.2,26457,1.40599
994.153,13,0.2,20764,1.41066
994.211,13,0.2,2676,1.4238
994.153,13,0.2,17981,1.41211
994.153,13,0.2,12495,1.4039
994.153,13,0.2,16831,1.42848
994.153,13,0.2,32008,1.44603
994.153,13,0.2,16205,1.40969
1004.71,15,0.2,15311,1.45869
994.153,13,0.2,11864,1.42816
994.153,13,0.2,24042,1.43926
994.153,13,0.2,20817,1.43482
994.153,13,0.2,29629,1.43856
994.153,13,0.2,20720,1.39496
994.211,13,0.2,35864,1.41981
994.153,13,0.2,16831,1.42851
994.153,13,0.2,29629,1.42777
994.153,13,0.2,23629,1.44841

957.849,14,0.3,5338,1.40929
981.08,13,0.3,27939,1.41946
981.08,13,0.3,4537,1.41211
989.641,15,0.3,23558,1.39973
989.641,15,0.3,15737,1.40884
951.179,14,0.3,16968,1.3905
989.641,15,0.3,14573,1.39955
994.153,13,0.3,31341,1.39847
989.641,15,0.3,18116,1.38331
951.179,14,0.3,8895,1.39715
951.179,14,0.3,23247,1.40476
957.849,14,0.3,31456,1.41083
957.849,14,0.3,28777,1.39294
981.08,13,0.3,21404,1.41761
951.179,14,0.3,4346,1.39037
951.179,14,0.3,22071,1.4549
989.641,15,0.3,14815,1.40182
981.08,13,0.3,17421,1.38798
951.179,14,0.3,32798,1.39925
989.641,15,0.3,14815,1.37651
989.641,15,0.3,12791,1.37113
989.641,15,0.3,9874,1.39065
951.179,14,0.3,22942,1.39356
951.179,14,0.3,23247,1.40645
977.095,14,0.3,26269,1.53482
951.179,14,0.3,19700,1.41775
951.179,14,0.3,32434,1.38747
981.08,13,0.3,17421,1.40015
977.095,14,0.3,26269,1.3826
977.095,14,0.3,26269,1.38994

