"Function Value","Number of Vehicles",Alpha,Seed,Time
481.273,7,0.1,8078,0.258662
481.273,7,0.1,1535,0.252482
481.273,7,0.1,7786,0.253182
481.273,7,0.1,23515,0.259465
481.273,7,0.1,28932,0.274165
481.273,7,0.1,17873,0.258607
481.273,7,0.1,31554,0.261417
481.273,7,0.1,29078,0.257862
481.273,7,0.1,17961,0.270955
481.273,7,0.1,5938,0.255805
481.273,7,0.1,24352,0.257827
481.273,7,0.1,15873,0.264163
481.273,7,0.1,19098,0.273784
481.273,7,0.1,31198,0.258429
481.273,7,0.1,32178,0.262379
481.273,7,0.1,25123,0.252783
481.273,7,0.1,4169,0.256703
481.273,7,0.1,27404,0.259153
481.273,7,0.1,9952,0.265845
481.273,7,0.1,32467,0.251809
481.273,7,0.1,22047,0.267706
481.273,7,0.1,12115,0.261776
481.273,7,0.1,9248,0.261091
481.273,7,0.1,15812,0.273575
481.273,7,0.1,16879,0.257922
481.273,7,0.1,8797,0.255549
481.273,7,0.1,4818,0.258514
481.273,7,0.1,28618,0.253191
481.273,7,0.1,22942,0.256783
481.273,7,0.1,20531,0.2556

469.487,6,0.2,8078,0.247835
469.487,6,0.2,1535,0.246311
469.487,6,0.2,7786,0.25078
469.487,6,0.2,23515,0.244867
469.487,6,0.2,28982,0.249899
469.487,6,0.2,17873,0.242268
469.487,6,0.2,31554,0.253673
469.487,6,0.2,29078,0.249437
469.487,6,0.2,17961,0.245866
469.487,6,0.2,5938,0.24516
469.487,6,0.2,24352,0.255065
469.487,6,0.2,15883,0.249584
469.487,6,0.2,19098,0.241398
469.487,6,0.2,31198,0.254407
469.487,6,0.2,32178,0.256537
469.487,6,0.2,25123,0.258312
469.487,6,0.2,4169,0.244691
469.487,6,0.2,27464,0.246089
469.487,6,0.2,10002,0.253271
469.487,6,0.2,32467,0.250122
469.487,6,0.2,22047,0.265898
469.487,6,0.2,12115,0.248754
469.487,6,0.2,9248,0.248403
469.487,6,0.2,15812,0.255808
469.487,6,0.2,16959,0.244342
469.487,6,0.2,8797,0.247394
469.487,6,0.2,4818,0.244277
469.487,6,0.2,28808,0.249771
469.487,6,0.2,22942,0.241975
469.487,6,0.2,20621,0.248834

442.936,6,0.3,8148,0.251021
442.936,6,0.3,1555,0.238664
442.936,6,0.3,7796,0.252561
442.936,6,0.3,23585,0.24242
442.936,6,0.3,28922,0.247296
442.936,6,0.3,17863,0.241842
442.936,6,0.3,31604,0.239457
442.936,6,0.3,29068,0.237471
442.936,6,0.3,18041,0.245086
442.936,6,0.3,5978,0.247234
442.936,6,0.3,24482,0.245241
442.936,6,0.3,15923,0.244573
442.936,6,0.3,19248,0.236452
442.936,6,0.3,31438,0.255193
442.936,6,0.3,32298,0.240822
442.936,6,0.3,25293,0.237316
442.936,6,0.3,4219,0.253617
442.936,6,0.3,27534,0.250273
442.936,6,0.3,10082,0.242631
442.936,6,0.3,32557,0.24861
442.936,6,0.3,22077,0.240059
442.936,6,0.3,12205,0.240693
442.936,6,0.3,9448,0.251124
442.936,6,0.3,15862,0.24357
442.936,6,0.3,16879,0.236471
442.936,6,0.3,9007,0.239612
442.936,6,0.3,5008,0.246187
442.936,6,0.3,28608,0.237453
442.936,6,0.3,23322,0.247102
442.936,6,0.3,20901,0.253131

