"Function Value","Number of Vehicles",Alpha,Seed,Time
1538.41,13,0.1,31464,1.29792
1600.6,13,0.1,19487,1.25828
1538.41,13,0.1,8414,1.27651
1538.41,13,0.1,9392,1.25832
1538.41,13,0.1,28275,1.29289
1538.41,13,0.1,11610,1.26629
1538.41,13,0.1,17262,1.29437
1538.41,13,0.1,16519,1.27064
1538.41,13,0.1,29708,1.25173
1600.6,13,0.1,5870,1.25848
1538.41,13,0.1,2147,1.26799
1538.41,13,0.1,32786,1.28364
1538.41,13,0.1,2423,1.28564
1538.41,13,0.1,11223,1.2842
1538.41,13,0.1,33162,1.2579
1538.41,13,0.1,13881,1.27392
1538.41,13,0.1,26996,1.27267
1538.41,13,0.1,27651,1.25624
1538.41,13,0.1,32257,1.25639
1538.41,13,0.1,16519,1.27655
1538.41,13,0.1,19309,1.26282
1541.78,13,0.1,5538,1.26733
1600.6,13,0.1,3526,1.27509
1538.41,13,0.1,29732,1.28179
1538.41,13,0.1,28104,1.26172
1538.41,13,0.1,28275,1.26679
1538.41,13,0.1,21330,1.24808
1538.41,13,0.1,33211,1.24451
1538.41,13,0.1,13619,1.26702
1538.41,13,0.1,28275,1.26742

1522.8,13,0.2,31454,1.25518
1522.8,13,0.2,19467,1.23163
1522.8,13,0.2,6644,1.23042
1522.8,13,0.2,13772,1.23523
1541.78,13,0.2,26935,1.24568
1522.8,13,0.2,7240,1.23618
1522.8,13,0.2,16582,1.25484
1522.8,13,0.2,14579,1.24053
1522.8,13,0.2,26378,1.27384
1522.8,13,0.2,7240,1.23498
1522.8,13,0.2,1677,1.25146
1522.8,13,0.2,33236,1.22234
1522.8,13,0.2,3553,1.24876
1522.8,13,0.2,9033,1.23482
1526.75,13,0.2,34962,1.23909
1522.8,13,0.2,13401,1.24022
1538.41,13,0.2,30616,1.24197
1526.75,13,0.2,29621,1.24228
1522.8,13,0.2,32817,1.23879
1579.47,14,0.2,17689,1.22454
1579.47,14,0.2,17689,1.25586
1522.8,13,0.2,7618,1.25976
1522.8,13,0.2,3586,1.23474
1526.75,13,0.2,27622,1.24435
1522.8,13,0.2,31454,1.25248
1522.8,13,0.2,31765,1.24215
1522.8,13,0.2,21360,1.24349
1522.8,13,0.2,32951,1.2683
1522.8,13,0.2,14579,1.25361
1522.8,13,0.2,31765,1.25844

1514.41,13,0.3,31534,1.27907
1518.93,13,0.3,19997,1.26985
1518.41,13,0.3,10384,1.2849
1514.41,13,0.3,10832,1.25654
1518.41,13,0.3,29995,1.28509
1515.69,13,0.3,7950,1.27857
1518.93,13,0.3,16522,1.28569
1518.93,13,0.3,14879,1.2843
1514.41,13,0.3,29088,1.27862
1515.69,13,0.3,7950,1.27239
1514.41,13,0.3,1547,1.25815
1514.41,13,0.3,34496,1.29372
1514.41,13,0.3,3103,1.26998
1518.41,13,0.3,7443,1.26682
1514.41,13,0.3,33252,1.29269
1518.93,13,0.3,12101,1.2929
1518.41,13,0.3,27036,1.29743
1567.5,14,0.3,31061,1.28517
1514.41,13,0.3,34967,1.26827
1518.93,13,0.3,17359,1.26321
1518.93,13,0.3,17359,1.26719
1514.41,13,0.3,6298,1.26944
1514.41,13,0.3,4466,1.27138
1518.93,13,0.3,29802,1.25281
1514.41,13,0.3,29544,1.26153
1518.41,13,0.3,29995,1.25724
1514.41,13,0.3,25840,1.26669
1514.41,13,0.3,31911,1.26666
1514.41,13,0.3,12909,1.2562
1518.41,13,0.3,29995,1.29024

